Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.5           	1.982286e+00	9.911428e-01	9.911428e-01	-4.368827e-02	-2.911217e-02	-1.457610e-02	-7.268040e-03	-2.609061e-20	1.696460e-20	6.759121e-20	5.076020e-20	1.683101e-20
1             	1.584627e+00	7.923136e-01	7.923136e-01	-4.724202e-03	-4.461718e-03	-2.624847e-04	-2.099617e-03	-3.862950e-20	1.690779e-20	6.627113e-20	5.004336e-20	1.622777e-20
1.5           	1.531308e+00	7.656538e-01	7.656538e-01	7.062753e-03	2.489470e-03	4.573283e-03	-1.041906e-03	-5.192087e-20	1.863084e-20	6.357088e-20	5.041628e-20	1.315460e-20
2             	1.539566e+00	7.697831e-01	7.697831e-01	1.228517e-02	5.505285e-03	6.779888e-03	-6.373017e-04	-6.301353e-20	2.014349e-20	6.091338e-20	5.060018e-20	1.031320e-20
2.5           	1.553837e+00	7.769186e-01	7.769186e-01	1.476038e-02	6.940497e-03	7.819886e-03	-4.396947e-04	-7.132945e-20	2.130649e-20	5.809232e-20	5.035266e-20	7.739667e-21
3             	1.559115e+00	7.795574e-01	7.795574e-01	1.498612e-02	7.168202e-03	7.817918e-03	-3.248581e-04	-7.668558e-20	2.211096e-20	5.556365e-20	4.989279e-20	5.670867e-21
3.5           	1.554111e+00	7.770557e-01	7.770557e-01	1.383995e-02	6.672963e-03	7.166984e-03	-2.470107e-04	-7.980072e-20	2.249575e-20	5.320783e-20	4.909966e-20	4.108168e-21
4             	1.541121e+00	7.705606e-01	7.705606e-01	1.302051e-02	6.317158e-03	6.703348e-03	-1.930950e-04	-8.132759e-20	2.264908e-20	5.104370e-20	4.817093e-20	2.872769e-21
4.5           	1.523052e+00	7.615261e-01	7.615261e-01	1.156335e-02	5.626079e-03	5.937273e-03	-1.555970e-04	-8.180351e-20	2.261220e-20	4.910661e-20	4.716551e-20	1.941104e-21
5             	1.502715e+00	7.513577e-01	7.513577e-01	1.103848e-02	5.392658e-03	5.645818e-03	-1.265798e-04	-8.169159e-20	2.248381e-20	4.733715e-20	4.615238e-20	1.184769e-21
5.5           	1.482187e+00	7.410937e-01	7.410937e-01	1.077356e-02	5.286849e-03	5.486712e-03	-9.993171e-05	-8.127991e-20	2.231713e-20	4.577049e-20	4.520238e-20	5.681108e-22
6             	1.462188e+00	7.310939e-01	7.310939e-01	1.065690e-02	5.256285e-03	5.400610e-03	-7.216207e-05	-8.072446e-20	2.212515e-20	4.435418e-20	4.430224e-20	5.194135e-23
6.5           	1.443444e+00	7.217218e-01	7.217218e-01	1.138253e-02	5.647487e-03	5.735044e-03	-4.377870e-05	-8.014112e-20	2.193671e-20	4.309639e-20	4.348491e-20	-3.885163e-22
7             	1.426473e+00	7.132365e-01	7.132365e-01	1.264794e-02	6.308070e-03	6.339868e-03	-1.589889e-05	-7.958931e-20	2.177105e-20	4.202842e-20	4.278526e-20	-7.568443e-22
7.5           	1.410545e+00	7.052725e-01	7.052725e-01	1.373272e-02	6.876287e-03	6.856436e-03	9.925878e-06	-7.905135e-20	2.159996e-20	4.099536e-20	4.209763e-20	-1.102279e-21
8             	1.396226e+00	6.981129e-01	6.981129e-01	1.544532e-02	7.754530e-03	7.690786e-03	3.187210e-05	-7.856292e-20	2.145590e-20	4.009512e-20	4.150346e-20	-1.408343e-21
8.5           	1.383183e+00	6.915917e-01	6.915917e-01	1.725604e-02	8.676628e-03	8.579413e-03	4.860707e-05	-7.810390e-20	2.132777e-20	3.929701e-20	4.097628e-20	-1.679266e-21
9             	1.371252e+00	6.856259e-01	6.856259e-01	1.902341e-02	9.570872e-03	9.452534e-03	5.916926e-05	-7.767644e-20	2.120769e-20	3.857507e-20	4.049522e-20	-1.920151e-21
9.5           	1.360314e+00	6.801568e-01	6.801568e-01	2.057965e-02	1.035260e-02	1.022704e-02	6.278096e-05	-7.727182e-20	2.109565e-20	3.791339e-20	4.005234e-20	-2.138950e-21
10            	1.350257e+00	6.751284e-01	6.751284e-01	2.198730e-02	1.105279e-02	1.093451e-02	5.913705e-05	-7.688846e-20	2.099307e-20	3.729744e-20	3.964179e-20	-2.344351e-21
10.5          	1.340922e+00	6.704611e-01	6.704611e-01	2.299325e-02	1.154503e-02	1.144822e-02	4.840535e-05	-7.652011e-20	2.089207e-20	3.671980e-20	3.925196e-20	-2.532169e-21
11            	1.332305e+00	6.661523e-01	6.661523e-01	2.362365e-02	1.184298e-02	1.178067e-02	3.115753e-05	-7.616447e-20	2.079090e-20	3.617204e-20	3.887692e-20	-2.704879e-21
11.5          	1.324176e+00	6.620880e-01	6.620880e-01	2.391640e-02	1.196634e-02	1.195006e-02	8.140426e-06	-7.582006e-20	2.068953e-20	3.562384e-20	3.850145e-20	-2.877605e-21
12            	1.316727e+00	6.583633e-01	6.583633e-01	2.362012e-02	1.179046e-02	1.182966e-02	-1.960293e-05	-7.548900e-20	2.058855e-20	3.512578e-20	3.815145e-20	-3.025663e-21
12.5          	1.309755e+00	6.548775e-01	6.548775e-01	2.280279e-02	1.135050e-02	1.145228e-02	-5.089078e-05	-7.516814e-20	2.048257e-20	3.461785e-20	3.779149e-20	-3.173643e-21
13            	1.303172e+00	6.515858e-01	6.515858e-01	2.154437e-02	1.068826e-02	1.085610e-02	-8.391808e-05	-7.485582e-20	2.037189e-20	3.410299e-20	3.742338e-20	-3.320393e-21
13.5          	1.297101e+00	6.485504e-01	6.485504e-01	1.972879e-02	9.747506e-03	9.981287e-03	-1.168905e-04	-7.455391e-20	2.025648e-20	3.360435e-20	3.705865e-20	-3.454304e-21
14            	1.291327e+00	6.456633e-01	6.456633e-01	1.743684e-02	8.570532e-03	8.866310e-03	-1.478889e-04	-7.426046e-20	2.013159e-20	3.309031e-20	3.667674e-20	-3.586434e-21
14.5          	1.285968e+00	6.429841e-01	6.429841e-01	1.473134e-02	7.190416e-03	7.540921e-03	-1.752529e-04	-7.397798e-20	1.999963e-20	3.259215e-20	3.629570e-20	-3.703552e-21
15            	1.281069e+00	6.405344e-01	6.405344e-01	1.173603e-02	5.670554e-03	6.065474e-03	-1.974602e-04	-7.370948e-20	1.986192e-20	3.210471e-20	3.591427e-20	-3.809562e-21
15.5          	1.276222e+00	6.381110e-01	6.381110e-01	8.521686e-03	4.047668e-03	4.474018e-03	-2.131746e-04	-7.344744e-20	1.971335e-20	3.159318e-20	3.550994e-20	-3.916761e-21
16            	1.271822e+00	6.359112e-01	6.359112e-01	5.222398e-03	2.389935e-03	2.832463e-03	-2.212639e-04	-7.320316e-20	1.956000e-20	3.112352e-20	3.512176e-20	-3.998236e-21
16.5          	1.267658e+00	6.338288e-01	6.338288e-01	2.002557e-03	7.802703e-04	1.222287e-03	-2.210082e-04	-7.297092e-20	1.940339e-20	3.066024e-20	3.473351e-20	-4.073268e-21
17            	1.263658e+00	6.318289e-01	6.318289e-01	-1.284652e-03	-8.544704e-04	-4.301812e-04	-2.121446e-04	-7.274825e-20	1.923709e-20	3.019408e-20	3.433413e-20	-4.140055e-21
17.5          	1.259963e+00	6.299814e-01	6.299814e-01	-4.297680e-03	-2.343539e-03	-1.954141e-03	-1.946988e-04	-7.254260e-20	1.907059e-20	2.978988e-20	3.396553e-20	-4.175646e-21
18            	1.256352e+00	6.281762e-01	6.281762e-01	-7.055175e-03	-3.696742e-03	-3.358432e-03	-1.691548e-04	-7.235022e-20	1.889746e-20	2.940447e-20	3.359969e-20	-4.195221e-21
18.5          	1.253026e+00	6.265129e-01	6.265129e-01	-9.417801e-03	-4.845208e-03	-4.572593e-03	-1.363075e-04	-7.217366e-20	1.872636e-20	2.904781e-20	3.325026e-20	-4.202453e-21
19            	1.249811e+00	6.249056e-01	6.249056e-01	-1.125649e-02	-5.725494e-03	-5.531000e-03	-9.724684e-05	-7.201242e-20	1.855748e-20	2.873512e-20	3.292504e-20	-4.189922e-21
19.5          	1.246784e+00	6.233918e-01	6.233918e-01	-1.269113e-02	-6.398802e-03	-6.292327e-03	-5.323723e-05	-7.186513e-20	1.839422e-20	2.846595e-20	3.262719e-20	-4.161239e-21
20            	1.243908e+00	6.219539e-01	6.219539e-01	-1.338670e-02	-6.698875e-03	-6.687827e-03	-5.523812e-06	-7.173460e-20	1.824014e-20	2.824137e-20	3.236082e-20	-4.119452e-21
20.5          	1.241095e+00	6.205476e-01	6.205476e-01	-1.348339e-02	-6.697451e-03	-6.785937e-03	4.424274e-05	-7.161487e-20	1.809561e-20	2.804275e-20	3.211698e-20	-4.074236e-21
21            	1.238400e+00	6.191998e-01	6.191998e-01	-1.284791e-02	-6.329615e-03	-6.518299e-03	9.434220e-05	-7.150915e-20	1.796467e-20	2.790130e-20	3.191531e-20	-4.014018e-21
21.5          	1.235855e+00	6.179273e-01	6.179273e-01	-1.154659e-02	-5.630586e-03	-5.916003e-03	1.427084e-04	-7.141471e-20	1.785011e-20	2.779856e-20	3.174939e-20	-3.950828e-21
22            	1.233363e+00	6.166817e-01	6.166817e-01	-9.581895e-03	-4.603681e-03	-4.978214e-03	1.872668e-04	-7.133247e-20	1.775162e-20	2.774266e-20	3.162295e-20	-3.880289e-21
22.5          	1.230877e+00	6.154384e-01	6.154384e-01	-6.924852e-03	-3.236398e-03	-3.688454e-03	2.260276e-04	-7.125868e-20	1.767492e-20	2.770783e-20	3.152883e-20	-3.821009e-21
23            	1.228576e+00	6.142878e-01	6.142878e-01	-3.856355e-03	-1.671104e-03	-2.185251e-03	2.570734e-04	-7.119382e-20	1.761874e-20	2.771901e-20	3.147824e-20	-3.759235e-21
23.5          	1.226261e+00	6.131305e-01	6.131305e-01	-2.861847e-04	1.356946e-04	-4.218793e-04	2.787870e-04	-7.113521e-20	1.758544e-20	2.774369e-20	3.145728e-20	-3.713589e-21
24            	1.224075e+00	6.120375e-01	6.120375e-01	3.570968e-03	2.075367e-03	1.495601e-03	2.898828e-04	-7.108267e-20	1.757399e-20	2.779548e-20	3.147173e-20	-3.676251e-21
24.5          	1.221972e+00	6.109862e-01	6.109862e-01	7.554545e-03	4.066558e-03	3.487986e-03	2.892861e-04	-7.103325e-20	1.758396e-20	2.786395e-20	3.151593e-20	-3.651986e-21
25            	1.219962e+00	6.099811e-01	6.099811e-01	1.137852e-02	5.965595e-03	5.412926e-03	2.763344e-04	-7.098479e-20	1.760860e-20	2.793651e-20	3.157686e-20	-3.640350e-21
25.5          	1.218004e+00	6.090022e-01	6.090022e-01	1.496188e-02	7.731751e-03	7.230126e-03	2.508130e-04	-7.093281e-20	1.764625e-20	2.798903e-20	3.164076e-20	-3.651728e-21
26            	1.216176e+00	6.080879e-01	6.080879e-01	1.808185e-02	9.253793e-03	8.828059e-03	2.128667e-04	-7.087755e-20	1.769357e-20	2.805221e-20	3.171967e-20	-3.667465e-21
26.5          	1.214378e+00	6.071892e-01	6.071892e-01	2.053462e-02	1.043046e-02	1.010416e-02	1.631469e-04	-7.081490e-20	1.774325e-20	2.809396e-20	3.179023e-20	-3.696266e-21
27            	1.212691e+00	6.063456e-01	6.063456e-01	2.218057e-02	1.119318e-02	1.098739e-02	1.028938e-04	-7.074423e-20	1.779257e-20	2.810858e-20	3.184686e-20	-3.738275e-21
27.5          	1.211019e+00	6.055096e-01	6.055096e-01	2.283974e-02	1.145390e-02	1.138584e-02	3.402942e-05	-7.066261e-20	1.783340e-20	2.808303e-20	3.187491e-20	-3.791885e-21
28            	1.209488e+00	6.047440e-01	6.047440e-01	2.248873e-02	1.120348e-02	1.128525e-02	-4.088136e-05	-7.057263e-20	1.786477e-20	2.802661e-20	3.187808e-20	-3.851465e-21
