Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
0.15          	3.071832e+00	1.535916e+00	1.535916e+00	-1.752728e-01	-9.169655e-02	-8.357625e-02	-4.060150e-03	1.816228e-21	4.330341e-21	1.241684e-20	1.053876e-20	1.878080e-21
0.3           	2.150876e+00	1.075438e+00	1.075438e+00	-2.176261e-02	-1.217256e-02	-9.590056e-03	-1.291250e-03	1.106327e-21	3.092062e-21	1.278312e-20	9.483623e-21	3.299499e-21
0.45          	1.824608e+00	9.123042e-01	9.123042e-01	1.320693e-02	5.895950e-03	7.310976e-03	-7.075130e-04	7.426471e-22	2.730914e-21	1.274659e-20	9.104210e-21	3.642382e-21
0.6           	1.665695e+00	8.328476e-01	8.328476e-01	2.328288e-02	1.116848e-02	1.211440e-02	-4.729600e-04	4.268152e-22	2.613843e-21	1.263785e-20	8.932767e-21	3.705080e-21
0.75          	1.580517e+00	7.902587e-01	7.902587e-01	2.609025e-02	1.268746e-02	1.340279e-02	-3.576649e-04	1.061922e-22	2.601635e-21	1.251217e-20	8.857721e-21	3.654452e-21
0.9           	1.534327e+00	7.671635e-01	7.671635e-01	2.650843e-02	1.295793e-02	1.355050e-02	-2.962876e-04	-2.308138e-22	2.644318e-21	1.238365e-20	8.836141e-21	3.547505e-21
1.05          	1.510932e+00	7.554658e-01	7.554658e-01	2.607833e-02	1.277619e-02	1.330214e-02	-2.629734e-04	-5.748156e-22	2.717688e-21	1.226211e-20	8.848745e-21	3.413369e-21
1.2           	1.501350e+00	7.506750e-01	7.506750e-01	2.535031e-02	1.242972e-02	1.292059e-02	-2.454331e-04	-9.249852e-22	2.808678e-21	1.214776e-20	8.882557e-21	3.265202e-21
1.35          	1.500230e+00	7.501150e-01	7.501150e-01	2.463905e-02	1.208240e-02	1.255665e-02	-2.371235e-04	-1.271146e-21	2.907551e-21	1.204523e-20	8.930165e-21	3.115062e-21
1.5           	1.504160e+00	7.520799e-01	7.520799e-01	2.388151e-02	1.170649e-02	1.217503e-02	-2.342719e-04	-1.604546e-21	3.009351e-21	1.194918e-20	8.983942e-21	2.965240e-21
1.65          	1.510840e+00	7.554200e-01	7.554200e-01	2.314851e-02	1.133966e-02	1.180886e-02	-2.346014e-04	-1.919483e-21	3.109259e-21	1.185906e-20	9.038787e-21	2.820268e-21
1.8           	1.518728e+00	7.593641e-01	7.593641e-01	2.242025e-02	1.097335e-02	1.144690e-02	-2.367723e-04	-2.210276e-21	3.204592e-21	1.177067e-20	9.089925e-21	2.680740e-21
1.95          	1.526790e+00	7.633948e-01	7.633948e-01	2.167710e-02	1.059865e-02	1.107845e-02	-2.398960e-04	-2.473389e-21	3.293277e-21	1.168312e-20	9.134838e-21	2.548284e-21
2.1           	1.534323e+00	7.671614e-01	7.671614e-01	2.090957e-02	1.021140e-02	1.069817e-02	-2.433852e-04	-2.706778e-21	3.373627e-21	1.159361e-20	9.170429e-21	2.423176e-21
2.25          	1.540893e+00	7.704463e-01	7.704463e-01	2.014334e-02	9.824838e-03	1.031850e-02	-2.468311e-04	-2.910266e-21	3.445093e-21	1.150151e-20	9.195848e-21	2.305662e-21
2.4           	1.546246e+00	7.731229e-01	7.731229e-01	1.933255e-02	9.416371e-03	9.916183e-03	-2.499059e-04	-3.085131e-21	3.507315e-21	1.140536e-20	9.209998e-21	2.195367e-21
2.55          	1.550257e+00	7.751286e-01	7.751286e-01	1.851623e-02	9.005705e-03	9.510526e-03	-2.524103e-04	-3.232800e-21	3.560154e-21	1.130543e-20	9.212871e-21	2.092563e-21
2.7           	1.552886e+00	7.764431e-01	7.764431e-01	1.768362e-02	8.587599e-03	9.096023e-03	-2.542119e-04	-3.355555e-21	3.604135e-21	1.120126e-20	9.204763e-21	1.996494e-21
2.85          	1.554179e+00	7.770896e-01	7.770896e-01	1.684704e-02	8.168333e-03	8.678709e-03	-2.551878e-04	-3.455482e-21	3.639548e-21	1.109321e-20	9.186151e-21	1.907055e-21
3             	1.554206e+00	7.771028e-01	7.771028e-01	1.600731e-02	7.748370e-03	8.258943e-03	-2.552865e-04	-3.535566e-21	3.667199e-21	1.098108e-20	9.157737e-21	1.823339e-21
3.15          	1.553082e+00	7.765409e-01	7.765409e-01	1.516607e-02	7.328518e-03	7.837553e-03	-2.545174e-04	-3.597886e-21	3.687712e-21	1.086625e-20	9.120838e-21	1.745414e-21
3.3           	1.550915e+00	7.754574e-01	7.754574e-01	1.434106e-02	6.917612e-03	7.423447e-03	-2.529177e-04	-3.645236e-21	3.701819e-21	1.074862e-20	9.076128e-21	1.672489e-21
3.45          	1.547852e+00	7.739261e-01	7.739261e-01	1.351664e-02	6.507780e-03	7.008860e-03	-2.505401e-04	-3.679207e-21	3.710264e-21	1.062927e-20	9.024898e-21	1.604370e-21
3.6           	1.544005e+00	7.720026e-01	7.720026e-01	1.274346e-02	6.124299e-03	6.619158e-03	-2.474294e-04	-3.702569e-21	3.713837e-21	1.050898e-20	8.968327e-21	1.540653e-21
3.75          	1.539512e+00	7.697560e-01	7.697560e-01	1.196801e-02	5.740373e-03	6.227633e-03	-2.436303e-04	-3.716607e-21	3.713236e-21	1.038827e-20	8.907371e-21	1.480900e-21
3.9           	1.534480e+00	7.672398e-01	7.672398e-01	1.124680e-02	5.384222e-03	5.862581e-03	-2.391796e-04	-3.723212e-21	3.709168e-21	1.026754e-20	8.842936e-21	1.424599e-21
4.05          	1.529014e+00	7.645068e-01	7.645068e-01	1.055821e-02	5.045024e-03	5.513188e-03	-2.340822e-04	-3.723797e-21	3.702186e-21	1.014745e-20	8.775909e-21	1.371537e-21
4.2           	1.523215e+00	7.616076e-01	7.616076e-01	9.926266e-03	4.734772e-03	5.191494e-03	-2.283610e-04	-3.719578e-21	3.692813e-21	1.002888e-20	8.707254e-21	1.321628e-21
