Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
200.25        	1.385822e+00	6.929111e-01	6.929111e-01	2.612583e-01	1.351559e-01	1.261024e-01	4.526771e-03	-2.317775e-20	-1.093502e-20	-2.984040e-20	-2.585522e-20	-3.985176e-21
200.5         	1.385847e+00	6.929234e-01	6.929234e-01	2.867736e-01	1.476743e-01	1.390993e-01	4.287493e-03	-2.299049e-20	-1.078101e-20	-2.988877e-20	-2.572540e-20	-4.163378e-21
200.75        	1.387536e+00	6.937681e-01	6.937681e-01	3.076911e-01	1.578181e-01	1.498730e-01	3.972573e-03	-2.283788e-20	-1.066488e-20	-2.953619e-20	-2.543298e-20	-4.103212e-21
201           	1.389439e+00	6.947193e-01	6.947193e-01	3.223000e-01	1.647373e-01	1.575626e-01	3.587350e-03	-2.274397e-20	-1.057751e-20	-2.911775e-20	-2.513639e-20	-3.981362e-21
201.25        	1.392050e+00	6.960252e-01	6.960252e-01	3.319341e-01	1.691056e-01	1.628285e-01	3.138565e-03	-2.269900e-20	-1.052333e-20	-2.879673e-20	-2.492169e-20	-3.875039e-21
201.5         	1.393925e+00	6.969625e-01	6.969625e-01	3.355388e-01	1.704037e-01	1.651351e-01	2.634289e-03	-2.270724e-20	-1.048458e-20	-2.852628e-20	-2.474772e-20	-3.778558e-21
201.75        	1.395739e+00	6.978697e-01	6.978697e-01	3.332414e-01	1.687043e-01	1.645371e-01	2.083607e-03	-2.276917e-20	-1.047067e-20	-2.833147e-20	-2.463640e-20	-3.695067e-21
202           	1.397100e+00	6.985502e-01	6.985502e-01	3.253981e-01	1.641955e-01	1.612026e-01	1.496464e-03	-2.287817e-20	-1.047783e-20	-2.826037e-20	-2.460802e-20	-3.652351e-21
202.25        	1.397267e+00	6.986333e-01	6.986333e-01	3.117050e-01	1.567358e-01	1.549692e-01	8.833030e-04	-2.303453e-20	-1.049548e-20	-2.818675e-20	-2.458886e-20	-3.597890e-21
202.5         	1.397541e+00	6.987707e-01	6.987707e-01	2.927512e-01	1.466305e-01	1.461207e-01	2.549200e-04	-2.323701e-20	-1.053899e-20	-2.827494e-20	-2.467646e-20	-3.598484e-21
202.75        	1.397100e+00	6.985501e-01	6.985501e-01	2.690546e-01	1.341495e-01	1.349050e-01	-3.777475e-04	-2.347729e-20	-1.059873e-20	-2.843984e-20	-2.481865e-20	-3.621192e-21
203           	1.395628e+00	6.978141e-01	6.978141e-01	2.405275e-01	1.192599e-01	1.212677e-01	-1.003909e-03	-2.375828e-20	-1.066933e-20	-2.863326e-20	-2.498596e-20	-3.647305e-21
