Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
200.25        	1.388272e+00	6.941360e-01	6.941360e-01	2.626012e-01	1.358240e-01	1.267772e-01	4.523406e-03	-2.345693e-20	-1.097562e-20	-2.957090e-20	-2.576107e-20	-3.809830e-21
200.5         	1.388997e+00	6.944986e-01	6.944986e-01	2.882891e-01	1.484234e-01	1.398657e-01	4.278863e-03	-2.327468e-20	-1.083590e-20	-2.979872e-20	-2.573526e-20	-4.063463e-21
200.75        	1.391930e+00	6.959648e-01	6.959648e-01	3.092119e-01	1.585653e-01	1.506466e-01	3.959322e-03	-2.310489e-20	-1.073755e-20	-2.943954e-20	-2.545731e-20	-3.982221e-21
201           	1.394320e+00	6.971599e-01	6.971599e-01	3.237835e-01	1.654618e-01	1.583217e-01	3.570059e-03	-2.299877e-20	-1.065926e-20	-2.900050e-20	-2.515951e-20	-3.840988e-21
201.25        	1.397176e+00	6.985881e-01	6.985881e-01	3.334885e-01	1.698619e-01	1.636266e-01	3.117650e-03	-2.294635e-20	-1.060904e-20	-2.869086e-20	-2.495447e-20	-3.736387e-21
201.5         	1.398909e+00	6.994544e-01	6.994544e-01	3.368451e-01	1.710327e-01	1.658123e-01	2.610205e-03	-2.295475e-20	-1.057235e-20	-2.836700e-20	-2.475585e-20	-3.611151e-21
201.75        	1.400828e+00	7.004141e-01	7.004141e-01	3.343796e-01	1.692467e-01	1.651330e-01	2.056856e-03	-2.301847e-20	-1.056247e-20	-2.819149e-20	-2.465822e-20	-3.533270e-21
202           	1.402260e+00	7.011298e-01	7.011298e-01	3.263163e-01	1.646258e-01	1.616905e-01	1.467621e-03	-2.313055e-20	-1.057319e-20	-2.811579e-20	-2.463109e-20	-3.484703e-21
202.25        	1.402711e+00	7.013553e-01	7.013553e-01	3.123243e-01	1.570152e-01	1.553091e-01	8.530600e-04	-2.329068e-20	-1.059694e-20	-2.808689e-20	-2.464039e-20	-3.446507e-21
202.5         	1.402692e+00	7.013458e-01	7.013458e-01	2.931664e-01	1.468073e-01	1.463591e-01	2.240750e-04	-2.349332e-20	-1.064046e-20	-2.816308e-20	-2.472200e-20	-3.441079e-21
202.75        	1.401930e+00	7.009648e-01	7.009648e-01	2.689557e-01	1.340696e-01	1.348861e-01	-4.082785e-04	-2.373627e-20	-1.069969e-20	-2.832658e-20	-2.486298e-20	-3.463603e-21
203           	1.400649e+00	7.003243e-01	7.003243e-01	2.398025e-01	1.188682e-01	1.209344e-01	-1.033096e-03	-2.402182e-20	-1.077730e-20	-2.857152e-20	-2.506306e-20	-3.508463e-21
203.25        	1.398227e+00	6.991134e-01	6.991134e-01	2.065224e-01	1.016215e-01	1.049009e-01	-1.639706e-03	-2.434077e-20	-1.086406e-20	-2.884045e-20	-2.528428e-20	-3.556164e-21
203.5         	1.396442e+00	6.982210e-01	6.982210e-01	1.694444e-01	8.250431e-02	8.694005e-02	-2.217870e-03	-2.469969e-20	-1.098489e-20	-2.929611e-20	-2.563294e-20	-3.663165e-21
203.75        	1.393825e+00	6.969127e-01	6.969127e-01	1.294127e-01	6.194852e-02	6.746418e-02	-2.757828e-03	-2.508523e-20	-1.111482e-20	-2.976384e-20	-2.599674e-20	-3.767096e-21
204           	1.391373e+00	6.956866e-01	6.956866e-01	8.733629e-02	4.041766e-02	4.691863e-02	-3.250485e-03	-2.549454e-20	-1.126763e-20	-3.032386e-20	-2.642956e-20	-3.894301e-21
204.25        	1.388842e+00	6.944211e-01	6.944211e-01	4.311736e-02	1.787116e-02	2.524620e-02	-3.687517e-03	-2.592883e-20	-1.143747e-20	-3.092826e-20	-2.690160e-20	-4.026656e-21
204.5         	1.386761e+00	6.933804e-01	6.933804e-01	-1.689584e-03	-4.906283e-03	3.216700e-03	-4.061491e-03	-2.637545e-20	-1.162706e-20	-3.158683e-20	-2.742048e-20	-4.166354e-21
204.75        	1.385620e+00	6.928101e-01	6.928101e-01	-4.642289e-02	-2.757732e-02	-1.884557e-02	-4.365871e-03	-2.682655e-20	-1.183897e-20	-3.231196e-20	-2.799495e-20	-4.317010e-21
205           	1.384673e+00	6.923364e-01	6.923364e-01	-9.044675e-02	-4.981852e-02	-4.062823e-02	-4.595145e-03	-2.727480e-20	-1.205687e-20	-3.304230e-20	-2.857802e-20	-4.464285e-21
205.25        	1.384408e+00	6.922041e-01	6.922041e-01	-1.337219e-01	-7.160573e-02	-6.211613e-02	-4.744799e-03	-2.772202e-20	-1.228458e-20	-3.379204e-20	-2.918060e-20	-4.611440e-21
205.5         	1.384878e+00	6.924388e-01	6.924388e-01	-1.739676e-01	-9.179554e-02	-8.217205e-02	-4.811746e-03	-2.814028e-20	-1.251183e-20	-3.455988e-20	-2.979177e-20	-4.768111e-21
205.75        	1.386030e+00	6.930152e-01	6.930152e-01	-2.116475e-01	-1.106179e-01	-1.010296e-01	-4.794197e-03	-2.853555e-20	-1.273463e-20	-3.525750e-20	-3.036338e-20	-4.894120e-21
206           	1.387586e+00	6.937929e-01	6.937929e-01	-2.458400e-01	-1.276118e-01	-1.182281e-01	-4.691852e-03	-2.889382e-20	-1.294395e-20	-3.593781e-20	-3.091285e-20	-5.024958e-21
206.25        	1.389570e+00	6.947849e-01	6.947849e-01	-2.751366e-01	-1.420744e-01	-1.330622e-01	-4.506087e-03	-2.919970e-20	-1.313836e-20	-3.656249e-20	-3.141960e-20	-5.142882e-21
206.5         	1.392218e+00	6.961092e-01	6.961092e-01	-3.004055e-01	-1.544425e-01	-1.459630e-01	-4.239764e-03	-2.946248e-20	-1.331607e-20	-3.716381e-20	-3.189798e-20	-5.265834e-21
206.75        	1.394736e+00	6.973679e-01	6.973679e-01	-3.193202e-01	-1.635575e-01	-1.557627e-01	-3.897430e-03	-2.965151e-20	-1.346285e-20	-3.767122e-20	-3.229846e-20	-5.372760e-21
207           	1.397420e+00	6.987099e-01	6.987099e-01	-3.333439e-01	-1.701570e-01	-1.631869e-01	-3.485052e-03	-2.978513e-20	-1.358467e-20	-3.810979e-20	-3.263956e-20	-5.470226e-21
207.25        	1.399728e+00	6.998640e-01	6.998640e-01	-3.410068e-01	-1.735135e-01	-1.674934e-01	-3.010053e-03	-2.984413e-20	-1.367485e-20	-3.847107e-20	-3.291038e-20	-5.560688e-21
207.5         	1.401816e+00	7.009079e-01	7.009079e-01	-3.433504e-01	-1.741563e-01	-1.691942e-01	-2.481042e-03	-2.984126e-20	-1.373633e-20	-3.875198e-20	-3.311232e-20	-5.639662e-21
207.75        	1.403484e+00	7.017422e-01	7.017422e-01	-3.391833e-01	-1.714993e-01	-1.676840e-01	-1.907643e-03	-2.976150e-20	-1.376717e-20	-3.899018e-20	-3.326226e-20	-5.727918e-21
208           	1.404633e+00	7.023167e-01	7.023167e-01	-3.292606e-01	-1.659305e-01	-1.633301e-01	-1.300210e-03	-2.961480e-20	-1.376905e-20	-3.912937e-20	-3.333374e-20	-5.795630e-21
208.25        	1.404986e+00	7.024932e-01	7.024932e-01	-3.138329e-01	-1.575861e-01	-1.562468e-01	-6.696149e-04	-2.940379e-20	-1.373923e-20	-3.916599e-20	-3.332222e-20	-5.843761e-21
208.5         	1.404297e+00	7.021484e-01	7.021484e-01	-2.925354e-01	-1.462948e-01	-1.462406e-01	-2.706173e-05	-2.912497e-20	-1.367441e-20	-3.908256e-20	-3.321569e-20	-5.866870e-21
208.75        	1.403458e+00	7.017288e-01	7.017288e-01	-2.660906e-01	-1.324291e-01	-1.336616e-01	6.162570e-04	-2.879241e-20	-1.358737e-20	-3.895929e-20	-3.306702e-20	-5.892274e-21
209           	1.401846e+00	7.009232e-01	7.009232e-01	-2.354278e-01	-1.164646e-01	-1.189632e-01	1.249274e-03	-2.841642e-20	-1.347168e-20	-3.872997e-20	-3.283666e-20	-5.893304e-21
209.25        	1.399761e+00	6.998806e-01	6.998806e-01	-2.003779e-01	-9.832776e-02	-1.020502e-01	1.861214e-03	-2.799614e-20	-1.332905e-20	-3.839521e-20	-3.252666e-20	-5.868553e-21
209.5         	1.397078e+00	6.985392e-01	6.985392e-01	-1.617684e-01	-7.844243e-02	-8.332595e-02	2.441756e-03	-2.754612e-20	-1.315973e-20	-3.795013e-20	-3.213479e-20	-5.815339e-21
209.75        	1.394468e+00	6.972341e-01	6.972341e-01	-1.200356e-01	-5.703677e-02	-6.299887e-02	2.981049e-03	-2.707381e-20	-1.297005e-20	-3.743434e-20	-3.168722e-20	-5.747115e-21
210           	1.392352e+00	6.961761e-01	6.961761e-01	-7.633371e-02	-3.469689e-02	-4.163682e-02	3.469967e-03	-2.659560e-20	-1.276538e-20	-3.686402e-20	-3.119739e-20	-5.666634e-21
210.25        	1.390166e+00	6.950829e-01	6.950829e-01	-3.147225e-02	-1.183592e-02	-1.963633e-02	3.900204e-03	-2.612009e-20	-1.254410e-20	-3.617861e-20	-3.063341e-20	-5.545200e-21
210.5         	1.388378e+00	6.941889e-01	6.941889e-01	1.496203e-02	1.174531e-02	3.216723e-03	4.264292e-03	-2.564215e-20	-1.230950e-20	-3.544674e-20	-3.003287e-20	-5.413864e-21
210.75        	1.386978e+00	6.934890e-01	6.934890e-01	6.064582e-02	3.487872e-02	2.576710e-02	4.555809e-03	-2.518719e-20	-1.207284e-20	-3.464981e-20	-2.939775e-20	-5.252063e-21
211           	1.386170e+00	6.930852e-01	6.930852e-01	1.058193e-01	5.767894e-02	4.814036e-02	4.769286e-03	-2.475191e-20	-1.183582e-20	-3.383887e-20	-2.875525e-20	-5.083616e-21
211.25        	1.386320e+00	6.931599e-01	6.931599e-01	1.492590e-01	7.952991e-02	6.972905e-02	4.900429e-03	-2.434912e-20	-1.160816e-20	-3.302096e-20	-2.811864e-20	-4.902324e-21
211.5         	1.387153e+00	6.935763e-01	6.935763e-01	1.896993e-01	9.979605e-02	8.990327e-02	4.946386e-03	-2.398953e-20	-1.139819e-20	-3.222954e-20	-2.751296e-20	-4.716582e-21
211.75        	1.388603e+00	6.943017e-01	6.943017e-01	2.276023e-01	1.187068e-01	1.088955e-01	4.905646e-03	-2.366401e-20	-1.120436e-20	-3.144233e-20	-2.692552e-20	-4.516809e-21
212           	1.390445e+00	6.952225e-01	6.952225e-01	2.609498e-01	1.352533e-01	1.256965e-01	4.778365e-03	-2.339035e-20	-1.103235e-20	-3.070831e-20	-2.638651e-20	-4.321807e-21
212.25        	1.393036e+00	6.965182e-01	6.965182e-01	2.900537e-01	1.495931e-01	1.404606e-01	4.566232e-03	-2.316424e-20	-1.088876e-20	-3.006005e-20	-2.591878e-20	-4.141269e-21
212.5         	1.395547e+00	6.977737e-01	6.977737e-01	3.138468e-01	1.611960e-01	1.526507e-01	4.272664e-03	-2.299044e-20	-1.076969e-20	-2.946191e-20	-2.550065e-20	-3.961264e-21
212.75        	1.398741e+00	6.993707e-01	6.993707e-01	3.321723e-01	1.699888e-01	1.621835e-01	3.902662e-03	-2.287175e-20	-1.068461e-20	-2.900964e-20	-2.518943e-20	-3.820212e-21
213           	1.401233e+00	7.006164e-01	7.006164e-01	3.448158e-01	1.758707e-01	1.689452e-01	3.462761e-03	-2.280225e-20	-1.061845e-20	-2.860449e-20	-2.492069e-20	-3.683797e-21
213.25        	1.403775e+00	7.018875e-01	7.018875e-01	3.513766e-01	1.786492e-01	1.727274e-01	2.960904e-03	-2.278823e-20	-1.058012e-20	-2.832348e-20	-2.474186e-20	-3.581624e-21
213.5         	1.406002e+00	7.030008e-01	7.030008e-01	3.516437e-01	1.782281e-01	1.734156e-01	2.406219e-03	-2.282886e-20	-1.056403e-20	-2.815351e-20	-2.464079e-20	-3.512721e-21
213.75        	1.407369e+00	7.036844e-01	7.036844e-01	3.459964e-01	1.748070e-01	1.711894e-01	1.808797e-03	-2.291736e-20	-1.056521e-20	-2.803622e-20	-2.458331e-20	-3.452901e-21
214           	1.408234e+00	7.041170e-01	7.041170e-01	3.339411e-01	1.681500e-01	1.657911e-01	1.179427e-03	-2.306030e-20	-1.058757e-20	-2.802431e-20	-2.459972e-20	-3.424590e-21
