Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
200.25        	1.505166e+00	7.525829e-01	7.525829e-01	2.555332e-01	1.323942e-01	1.231390e-01	4.627620e-03	-2.167565e-20	-1.261013e-20	-3.067978e-20	-2.795002e-20	-2.729759e-21
200.5         	1.497917e+00	7.489583e-01	7.489583e-01	2.764295e-01	1.426520e-01	1.337775e-01	4.437277e-03	-2.146621e-20	-1.237341e-20	-3.110536e-20	-2.792609e-20	-3.179271e-21
200.75        	1.491435e+00	7.457173e-01	7.457173e-01	2.919555e-01	1.501540e-01	1.418015e-01	4.176251e-03	-2.126678e-20	-1.220820e-20	-3.082250e-20	-2.761945e-20	-3.203053e-21
201           	1.485892e+00	7.429460e-01	7.429460e-01	3.023783e-01	1.550432e-01	1.473351e-01	3.854049e-03	-2.109301e-20	-1.210074e-20	-3.055641e-20	-2.737894e-20	-3.177461e-21
201.25        	1.480669e+00	7.403347e-01	7.403347e-01	3.069382e-01	1.569458e-01	1.499924e-01	3.476722e-03	-2.096267e-20	-1.203343e-20	-3.033653e-20	-2.720170e-20	-3.134838e-21
201.5         	1.476366e+00	7.381832e-01	7.381832e-01	3.065963e-01	1.563485e-01	1.502479e-01	3.050301e-03	-2.087862e-20	-1.200481e-20	-3.021709e-20	-2.711336e-20	-3.103737e-21
201.75        	1.472553e+00	7.362765e-01	7.362765e-01	3.011420e-01	1.531526e-01	1.479894e-01	2.581634e-03	-2.085091e-20	-1.200442e-20	-3.015953e-20	-2.708418e-20	-3.075343e-21
202           	1.469261e+00	7.346307e-01	7.346307e-01	2.910838e-01	1.476203e-01	1.434635e-01	2.078428e-03	-2.088201e-20	-1.202656e-20	-3.019002e-20	-2.712157e-20	-3.068451e-21
202.25        	1.465893e+00	7.329467e-01	7.329467e-01	2.765537e-01	1.398259e-01	1.367278e-01	1.549067e-03	-2.097287e-20	-1.206150e-20	-3.023780e-20	-2.718040e-20	-3.057396e-21
202.5         	1.462701e+00	7.313503e-01	7.313503e-01	2.577188e-01	1.298616e-01	1.278573e-01	1.002147e-03	-2.112505e-20	-1.211110e-20	-3.033996e-20	-2.728108e-20	-3.058882e-21
202.75        	1.459549e+00	7.297744e-01	7.297744e-01	2.354543e-01	1.181739e-01	1.172804e-01	4.467687e-04	-2.132752e-20	-1.217205e-20	-3.049063e-20	-2.741737e-20	-3.073265e-21
203           	1.456615e+00	7.283075e-01	7.283075e-01	2.095185e-01	1.046511e-01	1.048674e-01	-1.081425e-04	-2.158331e-20	-1.224791e-20	-3.070178e-20	-2.759880e-20	-3.102979e-21
203.25        	1.453521e+00	7.267607e-01	7.267607e-01	1.811140e-01	8.990308e-02	9.121095e-02	-6.539360e-04	-2.187443e-20	-1.233036e-20	-3.093807e-20	-2.779940e-20	-3.138676e-21
203.5         	1.450851e+00	7.254257e-01	7.254257e-01	1.502749e-01	7.395518e-02	7.631976e-02	-1.182289e-03	-2.220145e-20	-1.242851e-20	-3.124418e-20	-2.805060e-20	-3.193578e-21
203.75        	1.448146e+00	7.240730e-01	7.240730e-01	1.175901e-01	5.710957e-02	6.048052e-02	-1.685480e-03	-2.255252e-20	-1.253162e-20	-3.157051e-20	-2.831687e-20	-3.253635e-21
204           	1.445909e+00	7.229546e-01	7.229546e-01	8.380304e-02	3.974494e-02	4.405809e-02	-2.156575e-03	-2.291983e-20	-1.264569e-20	-3.195241e-20	-2.862190e-20	-3.330519e-21
204.25        	1.443897e+00	7.219483e-01	7.219483e-01	4.916393e-02	2.199313e-02	2.717080e-02	-2.588837e-03	-2.329870e-20	-1.276367e-20	-3.234715e-20	-2.893725e-20	-3.409899e-21
204.5         	1.442211e+00	7.211057e-01	7.211057e-01	1.437577e-02	4.212026e-03	1.016374e-02	-2.975856e-03	-2.367902e-20	-1.288477e-20	-3.277124e-20	-2.927039e-20	-3.500853e-21
204.75        	1.441046e+00	7.205231e-01	7.205231e-01	-1.974280e-02	-1.318438e-02	-6.558427e-03	-3.312975e-03	-2.405225e-20	-1.300713e-20	-3.319360e-20	-2.960393e-20	-3.589667e-21
