Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
200.25        	1.385896e+00	6.929480e-01	6.929480e-01	2.622432e-01	1.356357e-01	1.266075e-01	4.514114e-03	-2.218012e-20	-1.123541e-20	-3.267068e-20	-2.757076e-20	-5.099927e-21
200.5         	1.385881e+00	6.929403e-01	6.929403e-01	2.872674e-01	1.479018e-01	1.393655e-01	4.268158e-03	-2.197745e-20	-1.108895e-20	-3.272609e-20	-2.745200e-20	-5.274092e-21
200.75        	1.387530e+00	6.937650e-01	6.937650e-01	3.074900e-01	1.576926e-01	1.497974e-01	3.947585e-03	-2.181871e-20	-1.098011e-20	-3.241680e-20	-2.718851e-20	-5.228292e-21
201           	1.389280e+00	6.946400e-01	6.946400e-01	3.214409e-01	1.642784e-01	1.571625e-01	3.557968e-03	-2.172363e-20	-1.089759e-20	-3.202917e-20	-2.691218e-20	-5.116993e-21
201.25        	1.391666e+00	6.958330e-01	6.958330e-01	3.303593e-01	1.682859e-01	1.620735e-01	3.106206e-03	-2.168133e-20	-1.084519e-20	-3.173012e-20	-2.671025e-20	-5.019869e-21
201.5         	1.393387e+00	6.966935e-01	6.966935e-01	3.335564e-01	1.693787e-01	1.641777e-01	2.600506e-03	-2.169393e-20	-1.080699e-20	-3.146736e-20	-2.654067e-20	-4.926685e-21
201.75        	1.394988e+00	6.974940e-01	6.974940e-01	3.306406e-01	1.673703e-01	1.632703e-01	2.050038e-03	-2.176733e-20	-1.079276e-20	-3.128276e-20	-2.643414e-20	-4.848626e-21
202           	1.396205e+00	6.981026e-01	6.981026e-01	3.223955e-01	1.626625e-01	1.597330e-01	1.464762e-03	-2.189011e-20	-1.079796e-20	-3.122298e-20	-2.640945e-20	-4.813528e-21
202.25        	1.396380e+00	6.981898e-01	6.981898e-01	3.084681e-01	1.550892e-01	1.533789e-01	8.551210e-04	-2.206358e-20	-1.081381e-20	-3.116811e-20	-2.639787e-20	-4.770242e-21
202.5         	1.396390e+00	6.981951e-01	6.981951e-01	2.893053e-01	1.448845e-01	1.444208e-01	2.318640e-04	-2.228677e-20	-1.085222e-20	-3.124797e-20	-2.647620e-20	-4.771765e-21
