
Time        	Cd            	Cd(f)         	Cd(r)         	Cl            	Cl(f)         	Cl(r)         	CmPitch       	CmRoll        	CmYaw         	Cs            	Cs(f)         	Cs(r)         
275.25        	1.386455e+00	6.932274e-01	6.932274e-01	1.461689e-01	7.058864e-02	7.558029e-02	-2.495825e-03	-1.967687e-20	-1.025201e-20	1.759125e-23	-1.024322e-20	1.026081e-20
275.5         	1.384225e+00	6.921124e-01	6.921124e-01	1.056428e-01	4.981591e-02	5.582686e-02	-3.005473e-03	-1.975068e-20	-1.094292e-20	-8.909512e-22	-1.138840e-20	1.049745e-20
275.75        	1.381757e+00	6.908786e-01	6.908786e-01	6.326476e-02	2.816865e-02	3.509611e-02	-3.463727e-03	-1.982838e-20	-1.165853e-20	-1.793016e-21	-1.255504e-20	1.076202e-20
276           	1.379969e+00	6.899844e-01	6.899844e-01	2.004370e-02	6.158895e-03	1.388481e-02	-3.862955e-03	-1.992239e-20	-1.239028e-20	-2.683380e-21	-1.373197e-20	1.104859e-20
276.25        	1.378552e+00	6.892759e-01	6.892759e-01	-2.376064e-02	-1.607671e-02	-7.683928e-03	-4.196393e-03	-2.002428e-20	-1.312985e-20	-3.552266e-21	-1.490599e-20	1.135372e-20
276.5         	1.377277e+00	6.886386e-01	6.886386e-01	-6.735145e-02	-3.813405e-02	-2.921739e-02	-4.458332e-03	-2.012431e-20	-1.385904e-20	-4.351465e-21	-1.603477e-20	1.168331e-20
276.75        	1.376615e+00	6.883075e-01	6.883075e-01	-1.095648e-01	-5.942643e-02	-5.013840e-02	-4.644015e-03	-2.022825e-20	-1.456340e-20	-5.110467e-21	-1.711863e-20	1.200817e-20
277           	1.376678e+00	6.883388e-01	6.883388e-01	-1.504902e-01	-7.999503e-02	-7.049522e-02	-4.749905e-03	-2.033458e-20	-1.524388e-20	-5.793553e-21	-1.814065e-20	1.234710e-20
277.25        	1.377162e+00	6.885810e-01	6.885810e-01	-1.888030e-01	-9.917520e-02	-8.962782e-02	-4.773691e-03	-2.043426e-20	-1.587450e-20	-6.385255e-21	-1.906712e-20	1.268187e-20
277.5         	1.378356e+00	6.891778e-01	6.891778e-01	-2.226876e-01	-1.160583e-01	-1.066293e-01	-4.714517e-03	-2.052705e-20	-1.642537e-20	-6.855383e-21	-1.985306e-20	1.299768e-20
277.75        	1.380276e+00	6.901378e-01	6.901378e-01	-2.540149e-01	-1.315805e-01	-1.224344e-01	-4.573032e-03	-2.061918e-20	-1.693239e-20	-7.261066e-21	-2.056292e-20	1.330186e-20
278           	1.381904e+00	6.909521e-01	6.909521e-01	-2.802430e-01	-1.444729e-01	-1.357701e-01	-4.351386e-03	-2.068384e-20	-1.733770e-20	-7.487734e-21	-2.108157e-20	1.359384e-20
278.25        	1.384135e+00	6.920673e-01	6.920673e-01	-3.015758e-01	-1.548412e-01	-1.467346e-01	-4.053304e-03	-2.074066e-20	-1.765956e-20	-7.603403e-21	-2.146126e-20	1.385786e-20
278.5         	1.386439e+00	6.932194e-01	6.932194e-01	-3.176787e-01	-1.625234e-01	-1.551553e-01	-3.684086e-03	-2.078286e-20	-1.788807e-20	-7.613039e-21	-2.169459e-20	1.408155e-20
278.75        	1.388459e+00	6.942297e-01	6.942297e-01	-3.281060e-01	-1.673033e-01	-1.608027e-01	-3.250343e-03	-2.080237e-20	-1.801301e-20	-7.472056e-21	-2.174904e-20	1.427698e-20
279           	1.390329e+00	6.951645e-01	6.951645e-01	-3.329039e-01	-1.692119e-01	-1.636920e-01	-2.759958e-03	-2.080547e-20	-1.803947e-20	-7.216597e-21	-2.164776e-20	1.443117e-20
279.25        	1.392232e+00	6.961161e-01	6.961161e-01	-3.320836e-01	-1.682637e-01	-1.638199e-01	-2.221864e-03	-2.079821e-20	-1.797181e-20	-6.865659e-21	-2.140464e-20	1.453898e-20
279.5         	1.393244e+00	6.966219e-01	6.966219e-01	-3.258616e-01	-1.645766e-01	-1.612850e-01	-1.645820e-03	-2.076625e-20	-1.780636e-20	-6.396989e-21	-2.100485e-20	1.460787e-20
279.75        	1.394171e+00	6.970853e-01	6.970853e-01	-3.135815e-01	-1.578329e-01	-1.557486e-01	-1.042108e-03	-2.072418e-20	-1.753948e-20	-5.821922e-21	-2.045044e-20	1.462851e-20
280           	1.393807e+00	6.969037e-01	6.969037e-01	-2.961337e-01	-1.484883e-01	-1.476455e-01	-4.214011e-04	-2.065543e-20	-1.717905e-20	-5.143600e-21	-1.975085e-20	1.460725e-20
280.25        	1.393572e+00	6.967859e-01	6.967859e-01	-2.736175e-01	-1.366033e-01	-1.370143e-01	2.054963e-04	-2.058644e-20	-1.673659e-20	-4.405342e-21	-1.893926e-20	1.453392e-20
280.5         	1.392680e+00	6.963398e-01	6.963398e-01	-2.463456e-01	-1.223449e-01	-1.240007e-01	8.279190e-04	-2.050532e-20	-1.621419e-20	-3.594699e-21	-1.801154e-20	1.441684e-20
280.75        	1.390895e+00	6.954476e-01	6.954476e-01	-2.151619e-01	-1.061456e-01	-1.090163e-01	1.435349e-03	-2.040968e-20	-1.562293e-20	-2.717766e-21	-1.698181e-20	1.426405e-20
281           	1.388808e+00	6.944040e-01	6.944040e-01	-1.795374e-01	-8.775102e-02	-9.178638e-02	2.017680e-03	-2.030949e-20	-1.495747e-20	-1.787714e-21	-1.585133e-20	1.406362e-20
281.25        	1.386141e+00	6.930707e-01	6.930707e-01	-1.412432e-01	-6.805647e-02	-7.318672e-02	2.565125e-03	-2.020171e-20	-1.424775e-20	-8.166538e-22	-1.465608e-20	1.383942e-20
281.5         	1.383977e+00	6.919886e-01	6.919886e-01	-1.003513e-01	-4.710707e-02	-5.324418e-02	3.068552e-03	-2.010524e-20	-1.350482e-20	1.394831e-22	-1.343508e-20	1.357456e-20
281.75        	1.381529e+00	6.907644e-01	6.907644e-01	-5.774437e-02	-2.535265e-02	-3.239173e-02	3.519538e-03	-2.000550e-20	-1.273577e-20	1.100596e-21	-1.218547e-20	1.328607e-20
282           	1.379814e+00	6.899072e-01	6.899072e-01	-1.438080e-02	-3.279847e-03	-1.110095e-02	3.910553e-03	-1.991940e-20	-1.196689e-20	2.038703e-21	-1.094754e-20	1.298624e-20
282.25        	1.378297e+00	6.891486e-01	6.891486e-01	2.944278e-02	1.895636e-02	1.048642e-02	4.234968e-03	-1.983671e-20	-1.119889e-20	2.939973e-21	-9.728906e-21	1.266888e-20
282.5         	1.377008e+00	6.885039e-01	6.885039e-01	7.281613e-02	4.089527e-02	3.192087e-02	4.487199e-03	-1.975583e-20	-1.045027e-20	3.801937e-21	-8.549305e-21	1.235124e-20
